index,comparacao,distancia
219,7886936_133943_emenda.txt_226,19.82316945478356
220,7886936_133943_emenda.txt_228,19.668263371955042
221,7886936_133943_emenda.txt_230,20.087112077796704
222,7886936_133943_emenda.txt_248,20.35726367074919
223,7886936_133943_emenda.txt_258,19.716362717239555
224,7886936_133943_emenda.txt_260,18.920652592550457
225,7886936_133943_emenda.txt_262,17.922399512490404
226,7886936_133943_emenda.txt_264,21.817297161770085
227,7886936_133943_emenda.txt_266,20.501934476149565
228,7886936_133943_emenda.txt_272,20.35726367074919
229,7886936_133943_emenda.txt_282,20.4185303782363
230,7886936_133943_emenda.txt_284,14.25323254942393
231,7886936_133943_emenda.txt_286,17.14373096343227
232,7886936_133943_emenda.txt_302,20.35726367074919
233,7886936_133943_emenda.txt_312,19.595336652855888
234,7886936_133943_emenda.txt_334,24.385966255846242
235,7886936_133943_emenda.txt_340,20.35726367074919
236,7886929_133943_emenda.txt_8,21.489578954386637
237,7886929_133943_emenda.txt_10,23.365290399509387
238,7886929_133943_emenda.txt_26,20.915038427422576
239,7886929_133943_emenda.txt_32,21.351136233059457
240,7886929_133943_emenda.txt_40,23.7248672980967
241,7886929_133943_emenda.txt_50,19.75088260689466
242,7886929_133943_emenda.txt_56,19.839138992195558
243,7886929_133943_emenda.txt_62,19.5783171069123
244,7886929_133943_emenda.txt_66,20.915038427422576
245,7886929_133943_emenda.txt_74,18.463648788456624
246,7886929_133943_emenda.txt_76,16.8833397776745
247,7886929_133943_emenda.txt_78,19.974875176704394
248,7886929_133943_emenda.txt_82,18.931194862689573
249,7886929_133943_emenda.txt_86,18.07094211355325
250,7886929_133943_emenda.txt_88,21.10321476797291
251,7886929_133943_emenda.txt_94,20.915038427422576
252,7886929_133943_emenda.txt_104,19.33827781599821
253,7886929_133943_emenda.txt_106,19.956566266879815
254,7886929_133943_emenda.txt_110,17.851370749233176
255,7886929_133943_emenda.txt_122,22.730452896486447
256,7886929_133943_emenda.txt_126,18.70744489433215
257,7886929_133943_emenda.txt_136,21.218603881724693
258,7886929_133943_emenda.txt_142,20.915038427422576
259,7886929_133943_emenda.txt_152,18.828126072087883
260,7886929_133943_emenda.txt_154,17.243804099959483
261,7886929_133943_emenda.txt_156,18.162579578758145
262,7886929_133943_emenda.txt_158,18.941986118667014
263,7886929_133943_emenda.txt_160,20.95331488807206
264,7886929_133943_emenda.txt_162,15.988707902377518
265,7886929_133943_emenda.txt_168,20.915038427422576
266,7886929_133943_emenda.txt_178,18.625824367102243
267,7886929_133943_emenda.txt_180,17.481889729453105
268,7886929_133943_emenda.txt_182,19.307614514480587
269,7886929_133943_emenda.txt_184,19.549125012973523
270,7886929_133943_emenda.txt_186,19.422301593036337
271,7886929_133943_emenda.txt_188,19.685139691001293
272,7886929_133943_emenda.txt_202,17.25936008503208
273,7886929_133943_emenda.txt_208,20.915038427422576
274,7886929_133943_emenda.txt_218,20.20384489394157
275,7886929_133943_emenda.txt_220,19.36428327791681
276,7886929_133943_emenda.txt_222,16.700049542628523
277,7886929_133943_emenda.txt_224,18.67413825428905
278,7886929_133943_emenda.txt_226,17.213463724589822
279,7886929_133943_emenda.txt_228,19.776227656239527
280,7886929_133943_emenda.txt_230,18.074430654851696
281,7886929_133943_emenda.txt_248,20.915038427422576
282,7886929_133943_emenda.txt_258,19.28558764035271
283,7886929_133943_emenda.txt_260,17.34358211243648
284,7886929_133943_emenda.txt_262,17.57553893791588
285,7886929_133943_emenda.txt_264,21.927022977503036
286,7886929_133943_emenda.txt_266,21.074034644345897
287,7886929_133943_emenda.txt_272,20.915038427422576
288,7886929_133943_emenda.txt_282,20.55781639171395
289,7886929_133943_emenda.txt_284,15.847856561909769
290,7886929_133943_emenda.txt_286,18.414567813426718
291,7886929_133943_emenda.txt_302,20.915038427422576
292,7886929_133943_emenda.txt_312,20.876446635091877
293,7886929_133943_emenda.txt_334,24.665692671324454
294,7886929_133943_emenda.txt_340,20.915038427422576
295,7890799_133943_emenda.txt_8,21.70095351032633
296,7890799_133943_emenda.txt_10,24.30956224144904
297,7890799_133943_emenda.txt_26,21.57794773949906
298,7890799_133943_emenda.txt_32,22.067079964170656
299,7890799_133943_emenda.txt_40,24.681766930641203
300,7890799_133943_emenda.txt_50,20.856082452678983
301,7890799_133943_emenda.txt_56,20.389632928159404
302,7890799_133943_emenda.txt_62,20.003439753144946
303,7890799_133943_emenda.txt_66,21.57794773949906
304,7890799_133943_emenda.txt_74,19.2609560778548
305,7890799_133943_emenda.txt_76,18.981448519072085
306,7890799_133943_emenda.txt_78,21.185875999225125
307,7890799_133943_emenda.txt_82,20.763505899925118
308,7890799_133943_emenda.txt_86,19.096799637335714
309,7890799_133943_emenda.txt_88,22.235918298492383
