id_ext,casa,data,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,fase,situacao_descricao_situacao,evento,data_audiencia,local,global,tipo_documento,nivel,titulo_evento,status
16526,camara,1997-09-24T00:00:00Z,34,"DEFERIDO OF 353/97, DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3398/97, A ESTE.",MESA,129,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-09-30T00:00:00Z,35,"REQUERIMENTO DO DEP ISRAEL PINHEIRO, SOLICITANDO A DESAPENSAÇÃO DO PL. 3517/97, DESTE.",MESA,5,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-10-02T00:00:00Z,36,Apense-se a este o PL 3603/1997.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-10-13T00:00:00Z,37,"DEFERIDO REQUERIMENTO DO DEP ISRAEL PINHEIRO, SOLICITANDO A DESAPENSAÇÃO DOPL. 3517/97, DESTE.DCD 14 10 97 PAG 32263 COL 01.",MESA,5,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-10-22T00:00:00Z,38,"OF 447/97 DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 2637/96, A ESTE.",MESA,5,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-11-06T00:00:00Z,39,"OF 471/97 DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3735/97 A ESTE.",MESA,5,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-11-11T00:00:00Z,40,"DEFERIDO OF 471/97, DA CTASP, SOLICITANDO A APENSAÇÃO DO PL. 3735/97, A ESTE.DCD 12 11 97 PAG 36038 COL 01.",MESA,129,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-11-11T00:00:00Z,41,"PARECER FAVORAVEL DO RELATOR, DEP SANDRO MABEL A ESTE, COM SUBSTITUTIVO, E AOS APENSADOS.",CTASP,322,NA,NA,NA,NA,parecer_pela_aprovacao_com_substitutivo,NA,CD-MESA-PLEN,NA,NA,1,Parecer pela Aprovação com Substitutivo,Ativa
16526,camara,1997-11-11T00:00:00Z,42,PRAZO PARA APRESENTAÇÃO DE EMENDAS AO SUBSTITUTIVO: 05 SESSÕES.,CTASP,350,NA,NA,NA,NA,parecer_pela_aprovacao_com_substitutivo,NA,CD-MESA-PLEN,NA,NA,1,Parecer pela Aprovação com Substitutivo,Ativa
16526,camara,1997-11-25T00:00:00Z,43,APRESENTAÇÃO DE EMENDA AO SUBSTITUTIVO PELO DEP NOEL DE OLIVEIRA.,CTASP,600,NA,NA,NA,NA,parecer_pela_aprovacao_com_substitutivo,NA,CD-MESA-PLEN,NA,NA,1,Parecer pela Aprovação com Substitutivo,Ativa
16526,camara,1997-11-27T00:00:00Z,44,Apense-se a este o PL 3841/1997.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1997-12-02T00:00:00Z,45,"PARECER FAVORAVEL DO RELATOR, DEP SANDRO MABEL, A ESTE, COM SUBSTITUTIVO E AOS APENSADOS, E PARCIALMENTE FAVORAVEL AOSPL. 3834/97 E PL. 3841/97, APENSADOS, ACATANDO A EMENDA APRESENTADA AO SUBSTITUTIVO, COMSUBEMENDA.",CTASP,322,NA,NA,NA,NA,parecer_pela_aprovacao_com_substitutivo,NA,CD-MESA-PLEN,NA,NA,1,Parecer pela Aprovação com Substitutivo,Ativa
16526,camara,1997-12-08T00:00:00Z,46,"DEFERIDO REQUERIMENTO DO DEP INACIO ARRUDA,SOLICITANDO A DESAPENSAÇÃO DO PL. 3834/97, DESTE.",MESA,130,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1999-03-31T00:00:00Z,47,PRAZO PARA APRESENTAÇÃO DE EMENDAS: 05 SESSÕES A PARTIR DE 01 04 99.,CTASP,350,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1999-03-31T00:00:00Z,48,RELATOR DEP PEDRO HENRY.,CTASP,320,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1999-04-09T00:00:00Z,49,Encerramento do prazo para apresentação de emendas. Foram apresentadas 5 emendas de autoria do Dep. Jair Meneguelli.,CTASP,100,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1999-06-10T00:00:00Z,50,Apense-se a este o PL 1149/1999 e PL 1150/1999.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,1999-10-08T00:00:00Z,51,Apense-se a este o PL 1468/1999.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
