index,id_leggo,id_autor,nome,partido,uf,bancada,nome_eleitoral,node_size
58,2,74171,Chico Alencar,PSOL,RJ,oposição,Chico Alencar (PSOL/RJ),2875
59,2,74210,Sarney Filho,PV,MA,governo,Sarney Filho (PV/MA),1035
60,2,74212,Aníbal Gomes,DEM,CE,governo,Aníbal Gomes (DEM/CE),187.5
61,2,74218,Walter Pinheiro,PT,BA,oposição,Walter Pinheiro (PT/BA),160
62,2,74253,Julio Lopes,PP,RJ,governo,Julio Lopes (PP/RJ),200
63,2,74254,Leonardo Picciani,MDB,RJ,governo,Leonardo Picciani (MDB/RJ),853.8095238095239
64,2,74262,Carlos Sampaio,PSDB,SP,governo,Carlos Sampaio (PSDB/SP),370
65,2,74285,Carlos Abicalil,PT,MT,oposição,Carlos Abicalil (PT/MT),241.66666666666663
66,2,74300,Marcelo Teixeira,PR,CE,governo,Marcelo Teixeira (PR/CE),183.33333333333331
67,2,74389,Mauro Passos,PT,SC,oposição,Mauro Passos (PT/SC),160
68,2,74391,Vignatti,PT,SC,oposição,Vignatti (PT/SC),160.00000000000003
69,2,74397,Luciana Genro,PSOL,RS,oposição,Luciana Genro (PSOL/RS),183.33333333333331
70,2,74491,Nazareno Fonteles,PT,PI,oposição,Nazareno Fonteles (PT/PI),160
71,2,74777,Rita Camata,PSDB,ES,governo,Rita Camata (PSDB/ES),183.33333333333331
72,2,74841,Fernando Gabeira,PV,RJ,governo,Fernando Gabeira (PV/RJ),183.3333333333333
73,5,141488,Paulo Teixeira,PT,SP,oposição,Paulo Teixeira (PT/SP),8410.126038481834
74,5,160538,Bohn Gass,PT,RS,oposição,Bohn Gass (PT/RS),4025.4498780644335
75,5,160556,Padre João,PT,MG,oposição,Padre João (PT/MG),4025.4498780644326
76,5,178970,João Daniel,PT,SE,oposição,João Daniel (PT/SE),4025.449878064433
77,5,73427,Alberto Goldman,PSDB,,governo,Alberto Goldman (PSDB/NA),116.66666666666666
78,5,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
79,5,73553,Nelson Marquezelli,PTB,SP,governo,Nelson Marquezelli (PTB/SP),328.3333333333333
80,5,73592,Kátia Abreu,PFL,TO,governo,Kátia Abreu (PFL/TO),116.66666666666666
81,5,74160,Patrus Ananias,PT,MG,oposição,Patrus Ananias (PT/MG),4491.237314148365
