id_ext,codigo_emenda,data_apresentacao,numero,local,autor,casa,tipo_documento,inteiro_teor
2119881,2124883,2017-03-08,19,PEC28716,Bacelar - PTN/BA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530119
2119881,2124897,2017-03-08,20,PEC28716,Bacelar - PTN/BA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530120
2119881,2124945,2017-03-09,21,PEC28716,Weverton Rocha - PDT/MA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530121
2119881,2124951,2017-03-09,22,PEC28716,Cristiane Brasil - PTB/RJ,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533165
2119881,2124964,2017-03-09,23,PEC28716,Rosinha da Adefal - PTdoB/AL,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1530122
2119881,2124988,2017-03-09,24,PEC28716,Carlos Eduardo Cadoca - PDT/PE,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1531119
2119881,2124999,2017-03-09,25,PEC28716,Alice Portugal - PCdoB/BA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532267
2119881,2125001,2017-03-09,26,PEC28716,Pompeo de Mattos - PDT/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533166
2119881,2125002,2017-03-09,27,PEC28716,Pompeo de Mattos - PDT/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533167
2119881,2125015,2017-03-09,28,PEC28716,Jandira Feghali - PCdoB/RJ,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533168
2119881,2125018,2017-03-09,29,PEC28716,Jandira Feghali - PCdoB/RJ,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532155
2119881,2125023,2017-03-09,30,PEC28716,Bohn Gass - PT/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532156
2119881,2125025,2017-03-09,31,PEC28716,Heitor Schuch - PSB/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533169
2119881,2125026,2017-03-09,32,PEC28716,Davidson Magalhães - PCdoB/BA,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532160
2119881,2125027,2017-03-09,33,PEC28716,Geovania de Sá - PSDB/SC,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533170
2119881,2125029,2017-03-09,34,PEC28716,Mara Gabrilli - PSDB/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532237
2119881,2125033,2017-03-09,35,PEC28716,Assis do Couto - PDT/PR,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532263
2119881,2125034,2017-03-09,36,PEC28716,Subtenente Gonzaga - PDT/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532266
2119881,2125035,2017-03-09,37,PEC28716,Subtenente Gonzaga - PDT/MG,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532272
2119881,2125043,2017-03-09,38,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532274
2119881,2125044,2017-03-09,39,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532279
2119881,2125045,2017-03-09,40,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532287
2119881,2125049,2017-03-09,41,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532256
2119881,2125051,2017-03-09,42,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532325
2119881,2125052,2017-03-09,43,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532273
2119881,2125054,2017-03-09,44,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532275
2119881,2125055,2017-03-09,45,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532276
2119881,2125057,2017-03-09,46,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532281
