id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_nome,id_leggo
2253415,PL,2807,"Dispõe sobre a transparência das contratações públicas, por dispensa de licitação, realizadas pelas administrações municipais e estaduais, em decorrência da calamidade causada pela pandemia do Covid-19, e dá outras providências. Altera a Lei nº 13.979 de 2020  o Decreto-lei nº 201 de 1967.",2020-05-21T10:10:00Z,camara,camara,Alessandro Molon+Camilo Capiberibe+Cássio Andrade+Denis Bezerra+Felipe Carreras+Jhc+Liziane Bayer+Luciano Ducci+Marcelo Nilo+Mauro Nazif+Rafael Motta+Ricardo Silva+Rosana Valle+Ted Conti+Vilson da Fetaemg,RJ+AP+PA+CE+PE+AL+RS+PR+BA+RO+RN+SP+SP+ES+MG,PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB,Urgência,Plenário,Relator não encontrado,515
2253431,PL,2810,"Altera o art. 339 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para dar nova redação ao crime de denunciação caluniosa. ",2020-05-21T13:04:00Z,camara,camara,Arthur Lira,AL,PP,Indefinido,Indefinido,Relator não encontrado,516
2253432,PL,2811,Institui o dia 17 de março como o Dia Nacional em Memória das Vitimas da Covid-19 e de Homenagem aos Profissionais da Saúde. ,2020-05-21T13:29:00Z,camara,camara,André Ferreira,PE,PSC,Indefinido,Indefinido,Relator não encontrado,517
2252589,PL,2633,"Altera a Lei n° 11.952, de 25 de junho de 2009, que dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União; a Lei n° 8.666, de 21 de junho de 1993, que institui normas para licitações e contratos da administração pública; a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos; a fim de ampliar o alcance da regularização fundiária e dar outras providências. ",2020-05-14T09:08:00Z,camara,camara,Zé Silva,MG,SOLIDARIEDADE,Ordinária,Conclusiva,Relator não encontrado,518
2241921,PDL,101,"Susta os efeitos da Portaria nº 34, de 9 de março de 2020, que dispõe sobre as condições para fomento a cursos de pós-graduação stricto sensu pela Diretoria de Programas e Bolsas no País da Capes. ",2020-03-24T19:47:00Z,camara,camara,Alice Portugal,BA,PCdoB,Ordinária,Plenário,Relator não encontrado,519
140534,PL,4162,"Atualiza o marco legal do saneamento básico e altera a Lei nº 9.984, de 17 de julho de 2000, para atribuir à Agência Nacional de Águas e Saneamento Básico (ANA) competência para editar normas de referência sobre o serviço de saneamento; a Lei nº 10.768, de 19 de novembro de 2003, para alterar as atribuições do cargo de Especialista em Recursos Hídricos e Saneamento Básico; a Lei nº 11.107, de 6 de abril de 2005, para vedar a prestação por contrato de programa dos serviços públicos de que trata o art. 175 da Constituição Federal; a Lei nº 11.445, de 5 de janeiro de 2007, para aprimorar as condições estruturais do saneamento básico no País; a Lei nº 12.305, de 2 de agosto de 2010, para tratar dos prazos para a disposição final ambientalmente adequada dos rejeitos; a Lei nº 13.089, de 12 de janeiro de 2015 (Estatuto da Metrópole), para estender seu âmbito de aplicação às microrregiões; e a Lei nº 13.529, de 4 de dezembro de 2017, para autorizar a União a participar de fundo com a finalidade exclusiva de financiar serviços técnicos especializados.",2020-03-04T00:00:00Z,senado,camara,Câmara dos Deputados  ,NA,NA,Ordinária,Plenário,Alessandro Vieira,520
2242247,PLP,62,"Suspende o pagamento das parcelas mensais das dívidas dos Estados, do Distrito Federal e dos Municípios com a União enquanto perdurar o estado de calamidade pública decretado pelo Decreto Legislativo nº 6, de 2020. NA",2020-03-27T16:46:00Z,camara,camara,Eduardo Bismarck,CE,PDT,Urgência,Plenário,Relator não encontrado,521
2244162,PL,1638,"Altera Dispositivos do Projeto de Lei Complementar 149, de 2019, que estabelece o Programa de Acompanhamento e Transparência Fiscal, o Plano de Promoção do Equilíbrio Fiscal, altera a Lei Complementar nº 101, de 4 de maio de 2000, a Lei Complementar nº 156, de 28 de dezembro de 2016, a Lei nº 12.348, de 15 de dezembro de 2010, a Lei nº 12.649, de 17 de maio de 2012 e a Medida Provisória nº 2.185- 35, de 24 de agosto de 2001. ",2020-04-07T09:42:00Z,camara,camara,Tito,BA,AVANTE,Urgência,Plenário,Relator não encontrado,522
2254729,PL,3162,"Regulamenta a divulgação de dados, pelo Ministério da Saúde, sobre a evolução da pandemia do novo coronavírus (Sars-Cov-2) no Brasil em atenção aos princípios da publicidade e da transparência. ",2020-06-08T09:00:00Z,camara,camara,Aliel Machado,PR,PSB,Prioridade,Conclusiva,Relator não encontrado,524
2253778,PLP,137,Cria fonte de recursos para o enfrentamento de calamidade pública nacional decorrente de Pandemia da Covid-19 reconhecida pelo Congresso Nacional. ,2020-05-26T17:32:00Z,camara,camara,André Figueiredo+Mauro Benevides Filho,CE+CE,PDT+PDT,Urgência,Plenário,Relator não encontrado,525
