id_leggo,id_autor,nome,partido,uf,bancada,casa_autor,nome_eleitoral,node_size,id_autor_parlametria
79,160545,Dep. Alexandre Leite,DEM,SP,governo,camara,Dep. Alexandre Leite (DEM/SP),3,1160545
79,164359,Dep. Delegado Waldir,PSL,GO,governo,camara,Dep. Delegado Waldir (PSL/GO),1.5,1164359
79,177282,Dep. Subtenente Gonzaga,PDT,MG,oposição,camara,Dep. Subtenente Gonzaga (PDT/MG),1,1177282
79,178881,Dep. Aluisio Mendes,PODE,MA,governo,camara,Dep. Aluisio Mendes (PODE/MA),1,1178881
79,178908,Dep. Delegado Éder Mauro,PSD,PA,governo,camara,Dep. Delegado Éder Mauro (PSD/PA),1,1178908
79,178924,Dep. Capitão Fábio Abreu,PL,,governo,camara,Dep. Capitão Fábio Abreu (PL/-),2,1178924
79,178945,Dep. Rosangela Gomes,PRB,RJ,governo,camara,Dep. Rosangela Gomes (PRB/RJ),1,1178945
79,178948,Dep. Beto Rosado,PP,RN,governo,camara,Dep. Beto Rosado (PP/RN),1,1178948
79,178953,Dep. Expedito Netto,PSD,RO,governo,camara,Dep. Expedito Netto (PSD/RO),1,1178953
79,178954,Dep. Lucio Mosquini,MDB,RO,governo,camara,Dep. Lucio Mosquini (MDB/RO),1,1178954
79,178964,Dep. Heitor Schuch,PSB,RS,oposição,camara,Dep. Heitor Schuch (PSB/RS),1,1178964
79,179587,Dep. Major Vitor Hugo,PSL,GO,governo,camara,Dep. Major Vitor Hugo (PSL/GO),2,1179587
79,194260,Dep. Nivaldo Albuquerque,PTB,AL,governo,camara,Dep. Nivaldo Albuquerque (PTB/AL),1,1194260
79,204355,Dep. Da Vitoria,CIDADANIA,ES,governo,camara,Dep. Da Vitoria (CIDADANIA/ES),1,1204355
79,204356,Dep. Amaro Neto,PRB,ES,governo,camara,Dep. Amaro Neto (PRB/ES),1,1204356
79,204359,Dep. Léo Moraes,PODE,RO,governo,camara,Dep. Léo Moraes (PODE/RO),1,1204359
79,204368,Dep. Fabio Schiochet,PSL,SC,governo,camara,Dep. Fabio Schiochet (PSL/SC),1,1204368
79,204382,Dep. Loester Trutis,PSL,MS,governo,camara,Dep. Loester Trutis (PSL/MS),2,1204382
79,204388,Dep. Bibo Nunes,PSL,RS,governo,camara,Dep. Bibo Nunes (PSL/RS),2,1204388
79,204391,Dep. José Nelto,PODE,GO,governo,camara,Dep. José Nelto (PODE/GO),1,1204391
79,204416,Dep. Sanderson,PSL,RS,governo,camara,Dep. Sanderson (PSL/RS),8,1204416
79,204418,Dep. Luizão Goulart,PRB,PR,governo,camara,Dep. Luizão Goulart (PRB/PR),2,1204418
