cargo,id_parlamentar,nome,partido,uf,situacao,sigla,casa,foto
SUPLENTE,204517,Zé Vitor ,PL,MG,Suplente,CEENERGI,camara,https://www.camara.leg.br/internet/deputado/bandep/204517.jpg
TITULAR,160511,Alessandro Molon ,PSB,RJ,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/160511.jpg
TITULAR,178927,Aliel Machado ,PSB,PR,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/178927.jpg
TITULAR,178881,Aluisio Mendes ,PSC,MA,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/178881.jpg
TITULAR,204572,Capitão Alberto Neto ,REPUBLIC,AM,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204572.jpg
TITULAR,178829,Capitão Augusto ,PL,SP,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/178829.jpg
TITULAR,204487,Capitão Wagner ,PROS,CE,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204487.jpg
SUPLENTE,73441,Celso Russomanno ,REPUBLIC,SP,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/73441.jpg
TITULAR,204514,Coronel Tadeu ,PSL,SP,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204514.jpg
SUPLENTE,204454,Daniel Silveira ,PSL,RJ,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204454.jpg
TITULAR,178908,Delegado Éder Mauro ,PSD,PA,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/178908.jpg
PRIMEIRO VICE-PRESIDENTE,204512,Delegado Marcelo Freitas ,PSL,MG,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204512.jpg
SUPLENTE,204569,Delegado Pablo ,PSL,AM,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204569.jpg
TITULAR,164359,Delegado Waldir ,PSL,GO,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/164359.jpg
TITULAR,204421,Edna Henrique ,PSDB,PB,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204421.jpg
TITULAR,204541,Eduardo Bismarck ,PDT,CE,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204541.jpg
TITULAR,68720,Fábio Henrique ,PDT,SE,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/68720.jpg
SUPLENTE,160587,Fábio Trad ,PSD,MS,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/160587.jpg
TITULAR,204531,Guilherme Derrite ,PP,SP,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204531.jpg
SUPLENTE,204373,Hélio Costa ,REPUBLIC,SC,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204373.jpg
TITULAR,204539,Hercílio Coelho Diniz ,MDB,MG,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204539.jpg
TITULAR,178884,Hildo Rocha ,MDB,MA,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/178884.jpg
TITULAR,141450,Hugo Leal ,PSD,RJ,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/141450.jpg
TITULAR,74366,João Campos ,REPUBLIC,GO,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/74366.jpg
SUPLENTE,178970,João Daniel ,PT,SE,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/178970.jpg
SUPLENTE,204468,Joenia Wapichana ,REDE,RR,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204468.jpg
SUPLENTE,204472,José Medeiros ,PODE,MT,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204472.jpg
SEGUNDO VICE-PRESIDENTE,204536,Kim Kataguiri ,DEM,SP,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204536.jpg
TITULAR,204381,Luis Miranda ,DEM,DF,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204381.jpg
SUPLENTE,166402,Magda Mofatto ,PL,GO,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/166402.jpg
TITULAR,204471,Mara Rocha ,PSDB,AC,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204471.jpg
SUPLENTE,156190,Marcel van Hattem,NOVO,RS,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/156190.jpg
TITULAR,76874,Marcelo Freixo ,PSOL,RJ,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/76874.jpg
TITULAR,81055,Márcio Jerry ,PCdoB,MA,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/81055.jpg
TITULAR,204430,Margarete Coelho ,PP,PI,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204430.jpg
SUPLENTE,204486,Mauro Benevides Filho ,PDT,CE,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204486.jpg
TERCEIRO VICE-PRESIDENTE,74571,Nelson Pellegrino ,,,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/74571.jpg
TITULAR,204479,Nicoletti ,PSL,RR,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204479.jpg
SUPLENTE,178987,Orlando Silva ,PCdoB,SP,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/178987.jpg
SUPLENTE,204363,Osires Damaso ,PSC,TO,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204363.jpg
TITULAR,74319,Paes Landim ,,,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/74319.jpg
NA,204461,Paulo Ganime ,NOVO,RJ,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204461.jpg
SUPLENTE,133968,Paulo Ramos ,PDT,RJ,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/133968.jpg
TITULAR,141488,Paulo Teixeira ,PT,SP,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/141488.jpg
TITULAR,204529,Policial Katia Sastre ,PL,SP,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204529.jpg
TITULAR,74161,Reginaldo Lopes ,PT,MG,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/74161.jpg
SUPLENTE,204416,Sanderson ,PSL,RS,Suplente,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/204416.jpg
PRESIDENTE,177282,Subtenente Gonzaga ,PDT,MG,Titular,CEPOLICI,camara,https://www.camara.leg.br/internet/deputado/bandep/177282.jpg
SUPLENTE,160508,Afonso Florence ,PT,BA,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/160508.jpg
TITULAR,204545,Alê Silva ,PSL,MG,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204545.jpg
PRIMEIRO VICE-PRESIDENTE,204516,Alexis Fonteyne ,NOVO,SP,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204516.jpg
TITULAR,160665,Augusto Coutinho ,SOLIDARI,PE,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/160665.jpg
SUPLENTE,204551,Bosco Saraiva ,SOLIDARI,AM,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204551.jpg
TITULAR,204572,Capitão Alberto Neto ,REPUBLIC,AM,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204572.jpg
TITULAR,204569,Delegado Pablo ,PSL,AM,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204569.jpg
TITULAR,204518,Dr. Frederico ,PATRIOTA,MG,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204518.jpg
TITULAR,141417,Edio Lopes ,PL,RR,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/141417.jpg
SUPLENTE,204552,Eduardo Braide ,PODE,MA,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204552.jpg
SUPLENTE,204389,Elias Vaz ,PSB,GO,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204389.jpg
TITULAR,198783,Emanuel Pinheiro Neto ,PTB,MT,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/198783.jpg
SEGUNDO VICE-PRESIDENTE,132504,Enio Verri ,PT,PR,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/132504.jpg
TITULAR,66828,Fausto Pinato ,PP,SP,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/66828.jpg
TITULAR,204419,Glaustin Fokus ,PSC,GO,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204419.jpg
SUPLENTE,141450,Hugo Leal ,PSD,RJ,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/141450.jpg
TITULAR,204533,Idilvan Alencar ,PDT,CE,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204533.jpg
SUPLENTE,204435,Jesus Sérgio ,PDT,AC,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204435.jpg
TITULAR,204555,José Ricardo ,PT,AM,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204555.jpg
TITULAR,74317,Júlio Cesar ,PSD,PI,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/74317.jpg
TERCEIRO VICE-PRESIDENTE,92102,Leur Lomanto Júnior ,DEM,BA,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/92102.jpg
TITULAR,204381,Luis Miranda ,DEM,DF,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204381.jpg
SUPLENTE,133810,Marcelo Moraes ,PTB,RS,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/133810.jpg
PRESIDENTE,204556,Marcelo Ramos ,PL,AM,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204556.jpg
SUPLENTE,81055,Márcio Jerry ,PCdoB,MA,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/81055.jpg
SUPLENTE,204403,Marlon Santos ,PDT,RS,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204403.jpg
TITULAR,204486,Mauro Benevides Filho ,PDT,CE,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204486.jpg
NA,178987,Orlando Silva ,PCdoB,SP,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/178987.jpg
SUPLENTE,204441,Otoni de Paula ,PSC,RJ,Suplente,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204441.jpg
TITULAR,74161,Reginaldo Lopes ,PT,MG,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/74161.jpg
TITULAR,204557,Sidney Leite ,PSD,AM,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204557.jpg
TITULAR,204466,Tereza Nelma ,PSDB,AL,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204466.jpg
TITULAR,204517,Zé Vitor ,PL,MG,Titular,CESUBCRE,camara,https://www.camara.leg.br/internet/deputado/bandep/204517.jpg
TITULAR,160527,Aguinaldo Ribeiro ,PP,PB,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/160527.jpg
TITULAR,160511,Alessandro Molon ,PSB,RJ,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/160511.jpg
TITULAR,74471,André de Paula ,PSD,PE,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/74471.jpg
TITULAR,204423,André Ferreira ,PSC,PE,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204423.jpg
TITULAR,133439,André Figueiredo ,PDT,CE,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/133439.jpg
TITULAR,73433,Arlindo Chinaglia ,PT,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/73433.jpg
TITULAR,69871,Bacelar ,PODE,BA,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/69871.jpg
PRESIDENTE,160589,Bruna Furlan ,PSDB,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/160589.jpg
SUPLENTE,74262,Carlos Sampaio ,PSDB,SP,Suplente,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/74262.jpg
TITULAR,73441,Celso Russomanno ,REPUBLIC,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/73441.jpg
TITULAR,178916,Daniel Coelho ,CIDADANIA,PE,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178916.jpg
TITULAR,204411,Filipe Barros ,PSL,PR,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204411.jpg
TITULAR,204484,General Peternelli ,PSL,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204484.jpg
TITULAR,204575,Gil Cutrim ,PDT,MA,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204575.jpg
TITULAR,178884,Hildo Rocha ,MDB,MA,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178884.jpg
SUPLENTE,178842,JHC,PSB,AL,Suplente,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178842.jpg
SUPLENTE,204576,João Roma ,REPUBLIC,BA,Suplente,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204576.jpg
TITULAR,205550,Jorge Braz ,REPUBLIC,RJ,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/205550.jpg
PRIMEIRO VICE-PRESIDENTE,178879,Lucas Vergilio ,SOLIDARI,GO,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178879.jpg
SEGUNDO VICE-PRESIDENTE,204381,Luis Miranda ,DEM,DF,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204381.jpg
TITULAR,204485,Luiz Carlos Motta ,PL,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204485.jpg
TITULAR,76874,Marcelo Freixo ,PSOL,RJ,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/76874.jpg
TITULAR,178983,Marcio Alvino ,PL,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178983.jpg
TITULAR,81055,Márcio Jerry ,PCdoB,MA,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/81055.jpg
TITULAR,171619,Margarida Salomão ,PT,MG,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/171619.jpg
TITULAR,178956,Mariana Carvalho ,PSDB,RO,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178956.jpg
SUPLENTE,204453,Natália Bonavides ,PT,RN,Suplente,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204453.jpg
NA,178987,Orlando Silva ,PCdoB,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178987.jpg
TITULAR,204573,Otto Alencar Filho ,PSD,BA,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204573.jpg
TITULAR,141488,Paulo Teixeira ,PT,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/141488.jpg
TITULAR,73943,Perpétua Almeida ,PCdoB,AC,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/73943.jpg
TITULAR,160639,Professora Dorinha Seabra Rezende ,DEM,TO,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/160639.jpg
SUPLENTE,141531,Rodrigo de Castro ,PSDB,MG,Suplente,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/141531.jpg
SUPLENTE,73604,Rui Falcão ,PT,SP,Suplente,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/73604.jpg
TITULAR,177282,Subtenente Gonzaga ,PDT,MG,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/177282.jpg
SUPLENTE,143084,Tiago Dimas ,SOLIDARI,TO,Suplente,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/143084.jpg
TITULAR,204532,Vinicius Poit ,NOVO,SP,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/204532.jpg
TITULAR,178952,Walter Alves ,MDB,RN,Titular,PEC01719,camara,https://www.camara.leg.br/internet/deputado/bandep/178952.jpg
SUPLENTE,160511,Alessandro Molon ,PSB,RJ,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/160511.jpg
TITULAR,74057,Alice Portugal ,PCdoB,BA,Titular,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/74057.jpg
TITULAR,73696,Angela Amin ,PP,SC,Titular,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg
SUPLENTE,160538,Bohn Gass ,PT,RS,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/160538.jpg
SUPLENTE,204490,Charlles Evangelista ,PSL,MG,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/204490.jpg
TITULAR,204459,Daniela do Waguinho ,MDB,RJ,Titular,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/204459.jpg
TITULAR,160528,Danilo Cabral ,PSB,PE,Titular,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/160528.jpg
SUPLENTE,204518,Dr. Frederico ,PATRIOTA,MG,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/204518.jpg
SUPLENTE,204450,Dr. Luiz Antonio Teixeira Jr. ,PP,RJ,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/204450.jpg
TITULAR,204351,Dr. Luiz Ovando ,PSL,MS,Titular,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/204351.jpg
SUPLENTE,81297,Dra. Soraya Manato ,PSL,ES,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/81297.jpg
SUPLENTE,160575,Erika Kokay ,PT,DF,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/160575.jpg
SUPLENTE,204398,Felipe Francischini ,PSL,PR,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/204398.jpg
TITULAR,204371,Felipe Rigoni ,PSB,ES,Titular,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/204371.jpg
TITULAR,74200,Gastão Vieira ,PROS,MA,Titular,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/74200.jpg
SUPLENTE,73460,Gustavo Fruet ,PDT,PR,Suplente,PEC02419,camara,https://www.camara.leg.br/internet/deputado/bandep/73460.jpg
