index,comparacao,distancia
55,2125345_2119881_emenda_na_comissao.txt_471,23.36251793051739
56,2125345_2119881_emenda_na_comissao.txt_485,22.878706059438958
57,2125345_2119881_emenda_na_comissao.txt_500,22.235022518778262
58,2125345_2119881_emenda_na_comissao.txt_502,18.491563096129333
59,2125345_2119881_emenda_na_comissao.txt_516,21.25080133377602
60,2125345_2119881_emenda_na_comissao.txt_522,20.47372249969264
61,2125345_2119881_emenda_na_comissao.txt_534,19.003070828822302
62,2125345_2119881_emenda_na_comissao.txt_540,18.496745512381015
63,2125345_2119881_emenda_na_comissao.txt_546,20.350903164923682
64,2125345_2119881_emenda_na_comissao.txt_548,19.975946635530562
65,2125345_2119881_emenda_na_comissao.txt_554,18.414517878938494
66,2125345_2119881_emenda_na_comissao.txt_562,18.321974791711757
67,2125345_2119881_emenda_na_comissao.txt_570,22.440055680391506
68,2125345_2119881_emenda_na_comissao.txt_574,21.040133194950844
69,2125345_2119881_emenda_na_comissao.txt_589,20.473141420330293
70,2125345_2119881_emenda_na_comissao.txt_593,20.070065472215784
71,2125345_2119881_emenda_na_comissao.txt_599,21.152568935503655
72,2125345_2119881_emenda_na_comissao.txt_605,23.24133848605806
73,2125345_2119881_emenda_na_comissao.txt_607,19.90253138301381
74,2125345_2119881_emenda_na_comissao.txt_609,19.720811729019708
75,2125345_2119881_emenda_na_comissao.txt_615,22.292254185750107
76,2125345_2119881_emenda_na_comissao.txt_621,21.807019365874492
77,2125345_2119881_emenda_na_comissao.txt_627,22.545618047800307
78,2125345_2119881_emenda_na_comissao.txt_633,20.74254493619826
79,2125345_2119881_emenda_na_comissao.txt_639,17.310533222583565
80,2125345_2119881_emenda_na_comissao.txt_641,20.42157572008567
81,2125345_2119881_emenda_na_comissao.txt_659,20.611051097375274
82,2125345_2119881_emenda_na_comissao.txt_665,19.721061871873065
83,2125345_2119881_emenda_na_comissao.txt_673,20.319705167747536
84,2125345_2119881_emenda_na_comissao.txt_688,24.004408621874685
85,2125345_2119881_emenda_na_comissao.txt_690,21.29936758175707
86,2125345_2119881_emenda_na_comissao.txt_700,19.819738889671164
87,2125345_2119881_emenda_na_comissao.txt_708,18.31908716424842
88,2125345_2119881_emenda_na_comissao.txt_712,22.722979912629715
89,2125345_2119881_emenda_na_comissao.txt_716,18.538597210687886
